Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-10-13,01:00:00,0.54028,0.54036,0.53799,0.53806,0,0
2014-10-13,02:00:00,0.53805,0.53948,0.53785,0.53921,0,0
2014-10-13,03:00:00,0.53922,0.54006,0.53791,0.53996,0,0
2014-10-13,04:00:00,0.53997,0.54168,0.53986,0.54151,0,0
2014-10-13,05:00:00,0.54143,0.54258,0.54111,0.54172,0,0
2014-10-13,06:00:00,0.54172,0.54197,0.54119,0.54184,0,0
2014-10-13,07:00:00,0.54183,0.54238,0.54179,0.54212,0,0
2014-10-13,08:00:00,0.54212,0.54238,0.54178,0.542,0,0
2014-10-13,09:00:00,0.54201,0.54214,0.54091,0.54174,0,0
2014-10-13,10:00:00,0.54179,0.54258,0.54148,0.54257,0,0
2014-10-13,11:00:00,0.54257,0.54316,0.5422,0.54293,0,0
2014-10-13,12:00:00,0.5429,0.54367,0.54266,0.54347,0,0
2014-10-13,13:00:00,0.54347,0.54424,0.54322,0.5439,0,0
2014-10-13,14:00:00,0.54387,0.54437,0.54377,0.54399,0,0
2014-10-13,15:00:00,0.54399,0.5452,0.54393,0.54508,0,0
2014-10-13,16:00:00,0.54509,0.54584,0.54479,0.54569,0,0
2014-10-13,17:00:00,0.54569,0.54587,0.5447,0.54496,0,0
2014-10-13,18:00:00,0.54502,0.54568,0.54464,0.54522,0,0
2014-10-13,19:00:00,0.54522,0.54566,0.54498,0.54513,0,0
2014-10-13,20:00:00,0.54516,0.54578,0.54506,0.54536,0,0
2014-10-13,21:00:00,0.54537,0.54559,0.54513,0.54534,0,0
2014-10-13,22:00:00,0.54534,0.54589,0.54474,0.54474,0,0
2014-10-13,23:00:00,0.54474,0.54549,0.54434,0.5453,0,0
2014-10-13,23:59:00,0.54529,0.54551,0.54455,0.5449,0,0
2014-10-14,01:00:00,0.54486,0.54525,0.54469,0.54478,0,0
2014-10-14,02:00:00,0.54475,0.54502,0.54434,0.5449,0,0
2014-10-14,03:00:00,0.5449,0.54492,0.54385,0.54449,0,0
2014-10-14,04:00:00,0.54445,0.54662,0.54426,0.54638,0,0
2014-10-14,05:00:00,0.5464,0.54821,0.54631,0.54776,0,0
2014-10-14,06:00:00,0.54775,0.54811,0.54725,0.54727,0,0
