Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-10-13,01:00:00,1.41429,1.41583,1.41404,1.41556,0,0
2014-10-13,02:00:00,1.41558,1.41571,1.41388,1.41394,0,0
2014-10-13,03:00:00,1.41393,1.41575,1.41382,1.41507,0,0
2014-10-13,04:00:00,1.41507,1.42096,1.41507,1.4209,0,0
2014-10-13,05:00:00,1.42079,1.42159,1.41926,1.4215,0,0
2014-10-13,06:00:00,1.42161,1.4217,1.42048,1.42087,0,0
2014-10-13,07:00:00,1.42087,1.42121,1.41988,1.42027,0,0
2014-10-13,08:00:00,1.42027,1.4208,1.41959,1.41982,0,0
2014-10-13,09:00:00,1.41981,1.4203,1.41866,1.41923,0,0
2014-10-13,10:00:00,1.41927,1.42075,1.41888,1.42068,0,0
2014-10-13,11:00:00,1.4206,1.42172,1.41946,1.41997,0,0
2014-10-13,12:00:00,1.41988,1.42068,1.41924,1.42036,0,0
2014-10-13,13:00:00,1.42036,1.42132,1.4198,1.42099,0,0
2014-10-13,14:00:00,1.4209,1.42205,1.42045,1.4219,0,0
2014-10-13,15:00:00,1.42186,1.42246,1.42074,1.42156,0,0
2014-10-13,16:00:00,1.42138,1.42202,1.41982,1.4203,0,0
2014-10-13,17:00:00,1.4203,1.42289,1.41979,1.4217,0,0
2014-10-13,18:00:00,1.42159,1.42177,1.41826,1.41994,0,0
2014-10-13,19:00:00,1.41994,1.42037,1.41887,1.4192,0,0
2014-10-13,20:00:00,1.41916,1.41986,1.41804,1.41864,0,0
2014-10-13,21:00:00,1.4186,1.42045,1.4186,1.4204,0,0
2014-10-13,22:00:00,1.42039,1.42186,1.41991,1.42176,0,0
2014-10-13,23:00:00,1.42172,1.42828,1.42157,1.42784,0,0
2014-10-13,23:59:00,1.42769,1.4291,1.42564,1.42577,0,0
2014-10-14,01:00:00,1.42577,1.42621,1.42502,1.4256,0,0
2014-10-14,02:00:00,1.42556,1.42708,1.42527,1.42562,0,0
