Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-10-13,01:00:00,1.20812,1.20854,1.20795,1.20809,0,0
2014-10-13,02:00:00,1.2081,1.2087,1.20783,1.20856,0,0
2014-10-13,03:00:00,1.20855,1.20883,1.20835,1.20869,0,0
2014-10-13,04:00:00,1.20869,1.20902,1.20859,1.20893,0,0
2014-10-13,05:00:00,1.20887,1.209,1.20847,1.20876,0,0
2014-10-13,06:00:00,1.20879,1.20895,1.20841,1.20879,0,0
2014-10-13,07:00:00,1.20879,1.20901,1.20873,1.20885,0,0
2014-10-13,08:00:00,1.20885,1.20902,1.20805,1.20805,0,0
2014-10-13,09:00:00,1.20807,1.2083,1.20743,1.2078,0,0
2014-10-13,10:00:00,1.2078,1.20875,1.20778,1.20867,0,0
2014-10-13,11:00:00,1.20867,1.20887,1.20851,1.20883,0,0
2014-10-13,12:00:00,1.20878,1.20883,1.20833,1.20859,0,0
2014-10-13,13:00:00,1.20859,1.20871,1.20798,1.20829,0,0
2014-10-13,14:00:00,1.20829,1.20832,1.20754,1.20765,0,0
2014-10-13,15:00:00,1.20762,1.20774,1.20724,1.20772,0,0
2014-10-13,16:00:00,1.20773,1.20798,1.20746,1.20765,0,0
2014-10-13,17:00:00,1.20761,1.20788,1.20738,1.20765,0,0
2014-10-13,18:00:00,1.20762,1.20796,1.2075,1.20781,0,0
2014-10-13,19:00:00,1.2078,1.20802,1.2076,1.20778,0,0
2014-10-13,20:00:00,1.20778,1.20853,1.20771,1.20853,0,0
2014-10-13,21:00:00,1.20851,1.20886,1.20841,1.20878,0,0
2014-10-13,22:00:00,1.20882,1.20882,1.20849,1.20862,0,0
2014-10-13,23:00:00,1.20863,1.20914,1.20813,1.20861,0,0
2014-10-13,23:59:00,1.20864,1.20915,1.2078,1.20871,0,0
2014-10-14,01:00:00,1.20871,1.2091,1.20827,1.20849,0,0
2014-10-14,02:00:00,1.20841,1.2087,1.20812,1.20849,0,0
2014-10-14,03:00:00,1.20851,1.20872,1.20832,1.20851,0,0
2014-10-14,04:00:00,1.20855,1.20869,1.20837,1.20853,0,0
2014-10-14,05:00:00,1.20854,1.20884,1.20836,1.20846,0,0
2014-10-14,06:00:00,1.20846,1.2088,1.20835,1.2087,0,0
2014-10-14,07:00:00,1.20872,1.20896,1.2086,1.20872,0,0
2014-10-14,08:00:00,1.20872,1.20887,1.20855,1.20879,0,0
2014-10-14,09:00:00,1.20879,1.20888,1.20832,1.20861,0,0
2014-10-14,10:00:00,1.20858,1.20891,1.20798,1.20798,0,0
2014-10-14,11:00:00,1.20798,1.2081,1.2072,1.20726,0,0
2014-10-14,12:00:00,1.20716,1.20794,1.20697,1.20776,0,0
2014-10-14,13:00:00,1.20776,1.20803,1.20756,1.20781,0,0
