Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-10-13,01:00:00,1.26283,1.2647,1.26261,1.26459,0,0
2014-10-13,02:00:00,1.26459,1.26467,1.26361,1.26393,0,0
2014-10-13,03:00:00,1.26393,1.26476,1.26335,1.26455,0,0
2014-10-13,04:00:00,1.26454,1.26878,1.26454,1.26863,0,0
2014-10-13,05:00:00,1.26863,1.2697,1.26783,1.26925,0,0
2014-10-13,06:00:00,1.26924,1.26946,1.26831,1.2692,0,0
2014-10-13,07:00:00,1.26918,1.26935,1.26781,1.26825,0,0
2014-10-13,08:00:00,1.26825,1.26871,1.26736,1.26776,0,0
2014-10-13,09:00:00,1.26778,1.26866,1.26581,1.26608,0,0
2014-10-13,10:00:00,1.26608,1.2671,1.26502,1.26703,0,0
2014-10-13,11:00:00,1.26703,1.26818,1.26649,1.26753,0,0
2014-10-13,12:00:00,1.26753,1.26806,1.26673,1.26801,0,0
2014-10-13,13:00:00,1.26801,1.26951,1.26761,1.2686,0,0
2014-10-13,14:00:00,1.2686,1.26937,1.26856,1.26879,0,0
2014-10-13,15:00:00,1.26879,1.26885,1.26753,1.26819,0,0
2014-10-13,16:00:00,1.2682,1.26988,1.26806,1.26853,0,0
2014-10-13,17:00:00,1.26852,1.26948,1.26792,1.26802,0,0
2014-10-13,18:00:00,1.26806,1.26932,1.26697,1.26856,0,0
2014-10-13,19:00:00,1.26855,1.26856,1.26646,1.26656,0,0
2014-10-13,20:00:00,1.26657,1.26784,1.26648,1.2677,0,0
2014-10-13,21:00:00,1.26769,1.2681,1.26734,1.26796,0,0
2014-10-13,22:00:00,1.26796,1.26926,1.2677,1.26892,0,0
2014-10-13,23:00:00,1.26887,1.27603,1.26886,1.27512,0,0
2014-10-13,23:59:00,1.27505,1.27678,1.274,1.27411,0,0
2014-10-14,01:00:00,1.2741,1.2743,1.27345,1.27353,0,0
2014-10-14,02:00:00,1.27351,1.27486,1.2721,1.27215,0,0
2014-10-14,03:00:00,1.27215,1.27231,1.27141,1.27212,0,0
2014-10-14,04:00:00,1.27212,1.27312,1.27177,1.27284,0,0
2014-10-14,05:00:00,1.27282,1.27297,1.27216,1.27262,0,0
2014-10-14,06:00:00,1.27262,1.27263,1.27181,1.27203,0,0
2014-10-14,07:00:00,1.27203,1.27225,1.2716,1.27217,0,0
2014-10-14,08:00:00,1.27217,1.27277,1.27111,1.27122,0,0
2014-10-14,09:00:00,1.27122,1.27219,1.2705,1.27055,0,0
2014-10-14,10:00:00,1.27055,1.27067,1.26899,1.27001,0,0
2014-10-14,11:00:00,1.26996,1.27054,1.26788,1.26798,0,0
2014-10-14,12:00:00,1.26805,1.26825,1.264,1.2648,0,0
2014-10-14,13:00:00,1.26473,1.26601,1.26454,1.26522,0,0
2014-10-14,14:00:00,1.26533,1.26653,1.2649,1.265,0,0
2014-10-14,15:00:00,1.26501,1.26583,1.2645,1.26523,0,0
2014-10-14,16:00:00,1.26522,1.26575,1.26451,1.26569,0,0
2014-10-14,17:00:00,1.26571,1.26786,1.26554,1.26666,0,0
2014-10-14,18:00:00,1.26663,1.2676,1.26572,1.26595,0,0
2014-10-14,19:00:00,1.26596,1.26683,1.26554,1.26606,0,0
2014-10-14,20:00:00,1.266,1.26646,1.2654,1.26561,0,0
2014-10-14,21:00:00,1.26563,1.26564,1.26403,1.26476,0,0
2014-10-14,22:00:00,1.26476,1.26583,1.26421,1.26546,0,0
2014-10-14,23:00:00,1.26546,1.26631,1.26498,1.2656,0,0
2014-10-14,23:59:00,1.2656,1.26602,1.26502,1.2658,0,0
2014-10-15,01:00:00,1.2658,1.2658,1.26419,1.26448,0,0
2014-10-15,02:00:00,1.26448,1.26453,1.26309,1.26411,0,0
2014-10-15,03:00:00,1.26415,1.26476,1.2635,1.26362,0,0
2014-10-15,04:00:00,1.26362,1.264,1.26245,1.26377,0,0
2014-10-15,05:00:00,1.26376,1.26415,1.26339,1.26415,0,0
2014-10-15,06:00:00,1.26414,1.26479,1.26377,1.26428,0,0
2014-10-15,07:00:00,1.26428,1.26462,1.26368,1.26399,0,0
2014-10-15,08:00:00,1.264,1.26459,1.26366,1.26395,0,0
2014-10-15,09:00:00,1.26398,1.26593,1.26386,1.26519,0,0
2014-10-15,10:00:00,1.26518,1.26612,1.26387,1.26458,0,0
2014-10-15,11:00:00,1.26455,1.26687,1.26432,1.26524,0,0
2014-10-15,12:00:00,1.26526,1.26543,1.26418,1.26449,0,0
