Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-10-13,01:00:00,1.79935,1.80178,1.79906,1.80121,0,0
2014-10-13,02:00:00,1.80121,1.80135,1.79946,1.80015,0,0
2014-10-13,03:00:00,1.8001,1.80185,1.79993,1.8013,0,0
2014-10-13,04:00:00,1.8013,1.80526,1.80044,1.80525,0,0
2014-10-13,05:00:00,1.80519,1.8055,1.80306,1.80515,0,0
2014-10-13,06:00:00,1.80526,1.80542,1.80399,1.8044,0,0
2014-10-13,07:00:00,1.80446,1.80523,1.80403,1.80438,0,0
2014-10-13,08:00:00,1.80438,1.80509,1.80405,1.80449,0,0
2014-10-13,09:00:00,1.80451,1.80573,1.80313,1.80342,0,0
2014-10-13,10:00:00,1.80371,1.80411,1.8022,1.80327,0,0
2014-10-13,11:00:00,1.8032,1.80432,1.801,1.80167,0,0
2014-10-13,12:00:00,1.80142,1.80278,1.80129,1.80239,0,0
2014-10-13,13:00:00,1.80239,1.80429,1.80197,1.80303,0,0
2014-10-13,14:00:00,1.80303,1.80408,1.80262,1.80363,0,0
2014-10-13,15:00:00,1.80365,1.80475,1.80273,1.80283,0,0
2014-10-13,16:00:00,1.80258,1.80298,1.80043,1.80096,0,0
2014-10-13,17:00:00,1.80089,1.80231,1.79918,1.80027,0,0
2014-10-13,18:00:00,1.80016,1.8005,1.79684,1.7984,0,0
2014-10-13,19:00:00,1.7984,1.79991,1.7978,1.79946,0,0
2014-10-13,20:00:00,1.7994,1.80002,1.79744,1.7979,0,0
2014-10-13,21:00:00,1.79793,1.79955,1.79785,1.79933,0,0
2014-10-13,22:00:00,1.79923,1.80052,1.79887,1.80043,0,0
2014-10-13,23:00:00,1.8004,1.80275,1.79994,1.80104,0,0
2014-10-13,23:59:00,1.80102,1.80184,1.79832,1.79865,0,0
2014-10-14,01:00:00,1.79865,1.79924,1.79824,1.79914,0,0
2014-10-14,02:00:00,1.79908,1.80017,1.79898,1.80014,0,0
2014-10-14,03:00:00,1.80014,1.8014,1.79986,1.80067,0,0
2014-10-14,04:00:00,1.80067,1.80093,1.79969,1.79981,0,0
2014-10-14,05:00:00,1.79981,1.80009,1.79879,1.79946,0,0
2014-10-14,06:00:00,1.79943,1.80063,1.79932,1.80061,0,0
