Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-10-13,01:00:00,172.678,172.83,172.446,172.652,0,0
2014-10-13,02:00:00,172.65,172.766,172.624,172.723,0,0
2014-10-13,03:00:00,172.719,172.778,172.524,172.627,0,0
2014-10-13,04:00:00,172.627,172.732,172.502,172.722,0,0
2014-10-13,05:00:00,172.721,172.746,172.58,172.658,0,0
2014-10-13,06:00:00,172.664,172.765,172.6,172.698,0,0
2014-10-13,07:00:00,172.699,172.746,172.627,172.693,0,0
2014-10-13,08:00:00,172.693,172.812,172.646,172.754,0,0
2014-10-13,09:00:00,172.757,172.992,172.705,172.719,0,0
2014-10-13,10:00:00,172.737,172.814,172.568,172.6,0,0
2014-10-13,11:00:00,172.602,172.94,172.522,172.901,0,0
2014-10-13,12:00:00,172.889,172.936,172.629,172.728,0,0
2014-10-13,13:00:00,172.741,172.91,172.731,172.826,0,0
2014-10-13,14:00:00,172.829,172.874,172.589,172.596,0,0
2014-10-13,15:00:00,172.611,172.661,172.468,172.544,0,0
2014-10-13,16:00:00,172.541,172.801,172.436,172.589,0,0
2014-10-13,17:00:00,172.581,172.664,172.255,172.367,0,0
2014-10-13,18:00:00,172.355,172.587,172.334,172.51,0,0
2014-10-13,19:00:00,172.51,172.634,172.421,172.577,0,0
2014-10-13,20:00:00,172.566,172.598,172.386,172.459,0,0
2014-10-13,21:00:00,172.459,172.513,172.344,172.374,0,0
2014-10-13,22:00:00,172.363,172.377,172.065,172.078,0,0
2014-10-13,23:00:00,172.073,172.262,171.731,171.82,0,0
2014-10-13,23:59:00,171.82,171.971,171.721,171.952,0,0
2014-10-14,01:00:00,171.947,172.058,171.86,171.962,0,0
2014-10-14,02:00:00,171.959,172.055,171.92,171.969,0,0
2014-10-14,03:00:00,171.964,172.159,171.964,172.039,0,0
2014-10-14,04:00:00,172.039,172.359,172.012,172.328,0,0
2014-10-14,05:00:00,172.331,172.463,172.288,172.345,0,0
2014-10-14,06:00:00,172.343,172.384,172.134,172.268,0,0
2014-10-14,07:00:00,172.272,172.337,172.125,172.206,0,0
2014-10-14,08:00:00,172.211,172.289,172.072,172.252,0,0
2014-10-14,09:00:00,172.242,172.242,171.874,171.995,0,0
2014-10-14,10:00:00,171.981,172.184,171.841,172.097,0,0
2014-10-14,11:00:00,172.118,172.118,170.72,170.747,0,0
2014-10-14,12:00:00,170.742,170.746,170.397,170.416,0,0
2014-10-14,13:00:00,170.425,170.843,170.331,170.471,0,0
2014-10-14,14:00:00,170.44,170.442,169.934,170.108,0,0
2014-10-14,15:00:00,170.102,170.677,170.079,170.366,0,0
2014-10-14,16:00:00,170.372,170.669,170.234,170.282,0,0
2014-10-14,17:00:00,170.271,170.552,170.206,170.401,0,0
2014-10-14,18:00:00,170.407,170.756,170.341,170.687,0,0
2014-10-14,19:00:00,170.684,170.706,170.438,170.439,0,0
2014-10-14,20:00:00,170.443,170.54,170.353,170.394,0,0
2014-10-14,21:00:00,170.403,170.421,170.083,170.083,0,0
2014-10-14,22:00:00,170.089,170.232,169.96,170.197,0,0
2014-10-14,23:00:00,170.185,170.285,170.153,170.24,0,0
2014-10-14,23:59:00,170.234,170.446,170.209,170.383,0,0
2014-10-15,01:00:00,170.383,170.531,170.282,170.428,0,0
2014-10-15,02:00:00,170.428,170.596,170.401,170.516,0,0
2014-10-15,03:00:00,170.516,170.587,170.304,170.326,0,0
2014-10-15,04:00:00,170.319,170.382,170.094,170.189,0,0
2014-10-15,05:00:00,170.187,170.335,170.13,170.306,0,0
2014-10-15,06:00:00,170.304,170.55,170.235,170.515,0,0
2014-10-15,07:00:00,170.524,170.67,170.482,170.549,0,0
2014-10-15,08:00:00,170.553,170.691,170.497,170.654,0,0
2014-10-15,09:00:00,170.664,171.137,170.59,171.04,0,0
2014-10-15,10:00:00,171.038,171.078,170.442,170.464,0,0
2014-10-15,11:00:00,170.444,170.974,170.331,170.539,0,0
2014-10-15,12:00:00,170.543,170.959,170.422,170.941,0,0
2014-10-15,13:00:00,170.949,170.954,170.64,170.676,0,0
2014-10-15,14:00:00,170.67,170.674,170.202,170.274,0,0
2014-10-15,15:00:00,170.279,170.381,169.787,169.914,0,0
2014-10-15,16:00:00,169.918,170.021,169.009,169.71,0,0
2014-10-15,17:00:00,169.635,169.858,169.22,169.296,0,0
2014-10-15,18:00:00,169.309,169.543,169.178,169.286,0,0
2014-10-15,19:00:00,169.287,169.287,168.357,168.643,0,0
2014-10-15,20:00:00,168.624,168.624,168.014,168.442,0,0
2014-10-15,21:00:00,168.426,168.914,168.303,168.834,0,0
2014-10-15,22:00:00,168.842,169.562,168.801,169.472,0,0
2014-10-15,23:00:00,169.461,169.703,169.108,169.647,0,0
2014-10-15,23:59:00,169.627,169.731,169.486,169.686,0,0
2014-10-16,01:00:00,169.68,169.68,169.35,169.599,0,0
2014-10-16,02:00:00,169.594,169.621,169.427,169.471,0,0
2014-10-16,03:00:00,169.471,169.7,169.188,169.653,0,0
2014-10-16,04:00:00,169.643,169.694,169.367,169.61,0,0
2014-10-16,05:00:00,169.599,169.719,169.395,169.528,0,0
2014-10-16,06:00:00,169.523,169.663,169.504,169.551,0,0
2014-10-16,07:00:00,169.551,169.687,169.507,169.591,0,0
2014-10-16,08:00:00,169.586,169.631,169.48,169.484,0,0
2014-10-16,09:00:00,169.471,169.971,169.332,169.851,0,0
2014-10-16,10:00:00,169.865,169.912,169.204,169.381,0,0
2014-10-16,11:00:00,169.373,169.842,169.228,169.545,0,0
2014-10-16,12:00:00,169.537,169.578,168.668,168.806,0,0
2014-10-16,13:00:00,168.836,169.048,168.453,168.909,0,0
2014-10-16,14:00:00,168.902,169.183,168.654,169.141,0,0
2014-10-16,15:00:00,169.143,169.364,169.048,169.059,0,0
2014-10-16,16:00:00,169.056,169.872,169.02,169.704,0,0
2014-10-16,17:00:00,169.726,170.333,169.422,169.935,0,0
2014-10-16,18:00:00,169.937,170.465,169.774,170.244,0,0
2014-10-16,19:00:00,170.241,170.48,170.071,170.452,0,0
2014-10-16,20:00:00,170.45,170.878,170.45,170.582,0,0
2014-10-16,21:00:00,170.595,170.665,170.393,170.487,0,0
2014-10-16,22:00:00,170.47,171.194,170.47,171.194,0,0
2014-10-16,23:00:00,171.167,171.167,170.937,171.025,0,0
2014-10-16,23:59:00,171.006,171.046,170.775,170.814,0,0
2014-10-17,01:00:00,170.8,171.064,170.8,171.06,0,0
2014-10-17,02:00:00,171.061,171.515,171.058,171.296,0,0
2014-10-17,03:00:00,171.295,171.314,170.871,170.904,0,0
2014-10-17,04:00:00,170.908,171.139,170.811,171.046,0,0
2014-10-17,05:00:00,171.047,171.09,170.871,170.99,0,0
